"location","source","target"
"pretix/base/exporters/orderlist.py:91 pretix/base/exporters/orderlist.py:194 pretix/base/exporters/orderlist.py:269 pretix/base/exporters/orderlist.py:415 pretix/base/models/orders.py:123 pretix/control/forms/filter.py:366 pretix/control/forms/filter.py:501 pretix/control/forms/filter.py:697 pretix/control/forms/filter.py:752 pretix/control/templates/pretixcontrol/boxoffice/payment.html:17 pretix/control/templates/pretixcontrol/checkin/index.html:74 pretix/control/templates/pretixcontrol/events/index.html:76 pretix/control/templates/pretixcontrol/order/index.html:448 pretix/control/templates/pretixcontrol/order/index.html:544 pretix/control/templates/pretixcontrol/orders/index.html:105 pretix/control/templates/pretixcontrol/orders/refunds.html:45 pretix/control/templates/pretixcontrol/organizers/detail.html:30 pretix/control/templates/pretixcontrol/search/orders.html:51 pretix/control/templates/pretixcontrol/subevents/index.html:79 pretix/control/templates/pretixcontrol/waitinglist/index.html:136 pretix/control/views/waitinglist.py:199 pretix/plugins/reports/exporters.py:363 pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:48 pretix/presale/templates/pretixpresale/organizers/index.html:48","Status","Status"
"pretix/base/exporters/orderlist.py:91 pretix/base/exporters/orderlist.py:195 pretix/base/exporters/orderlist.py:270 pretix/control/templates/pretixcontrol/checkin/index.html:69","Email","E-Mail"
"pretix/base/exporters/orderlist.py:91 pretix/base/exporters/orderlist.py:196 pretix/base/exporters/orderlist.py:271 pretix/base/notifications.py:181 pretix/control/templates/pretixcontrol/order/index.html:120 pretix/control/templates/pretixcontrol/orders/index.html:97 pretix/control/templates/pretixcontrol/search/orders.html:45 pretix/plugins/checkinlists/exporters.py:323 pretix/plugins/reports/exporters.py:300 pretix/plugins/reports/exporters.py:363","Order date","Bestelldatum"
"pretix/base/exporters/orderlist.py:92 pretix/base/exporters/orderlist.py:203 pretix/base/exporters/orderlist.py:297 pretix/base/exporters/orderlist.py:500 pretix/base/exporters/orderlist.py:588 pretix/control/templates/pretixcontrol/order/index.html:637 pretix/plugins/checkinlists/exporters.py:321 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:92 pretix/presale/templates/pretixpresale/event/order.html:230","Company","Firma"
"pretix/base/exporters/orderlist.py:92 pretix/base/exporters/orderlist.py:493 pretix/base/exporters/orderlist.py:501 pretix/base/exporters/orderlist.py:581 pretix/base/exporters/orderlist.py:589 pretix/base/forms/questions.py:370 pretix/base/models/devices.py:47 pretix/base/models/event.py:846 pretix/base/models/event.py:1031 pretix/base/models/items.py:1195 pretix/base/models/organizer.py:31 pretix/base/models/tax.py:91 pretix/base/settings.py:741 pretix/control/forms/event.py:1081 pretix/control/forms/item.py:234 pretix/control/templates/pretixcontrol/checkin/index.html:71 pretix/control/templates/pretixcontrol/event/tax_index.html:26 pretix/control/templates/pretixcontrol/oauth/app_list.html:12 pretix/control/templates/pretixcontrol/oauth/authorized.html:17 pretix/control/templates/pretixcontrol/order/index.html:639 pretix/control/templates/pretixcontrol/organizers/devices.html:46 pretix/control/templates/pretixcontrol/organizers/team_members.html:96 pretix/control/templates/pretixcontrol/subevents/index.html:66 pretix/plugins/badges/models.py:32 pretix/plugins/badges/templates/pretixplugins/badges/index.html:34 pretix/plugins/checkinlists/exporters.py:212 pretix/plugins/ticketoutputpdf/models.py:32 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/index.html:32 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:95 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:130 pretix/presale/templates/pretixpresale/event/order.html:233 pretix/presale/templates/pretixpresale/organizers/index.html:46","Name","Name"
"pretix/base/exporters/orderlist.py:99 pretix/base/exporters/orderlist.py:211 pretix/base/exporters/orderlist.py:304 pretix/base/exporters/orderlist.py:494 pretix/base/exporters/orderlist.py:582 pretix/base/models/orders.py:1856 pretix/control/templates/pretixcontrol/order/index.html:641 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:97 pretix/presale/templates/pretixpresale/event/order.html:236","Address","Adresse"
"pretix/base/exporters/orderlist.py:99 pretix/base/exporters/orderlist.py:211 pretix/base/exporters/orderlist.py:304 pretix/base/exporters/orderlist.py:495 pretix/base/exporters/orderlist.py:503 pretix/base/exporters/orderlist.py:583 pretix/base/exporters/orderlist.py:591 pretix/base/models/orders.py:1857 pretix/control/forms/event.py:703","ZIP code","Postleitzahl"
"pretix/base/exporters/orderlist.py:99 pretix/base/exporters/orderlist.py:211 pretix/base/exporters/orderlist.py:304 pretix/base/exporters/orderlist.py:496 pretix/base/exporters/orderlist.py:504 pretix/base/exporters/orderlist.py:584 pretix/base/exporters/orderlist.py:592 pretix/base/models/orders.py:1858 pretix/control/forms/event.py:710","City","Ort"
"pretix/base/exporters/orderlist.py:99 pretix/base/exporters/orderlist.py:211 pretix/base/exporters/orderlist.py:304 pretix/base/exporters/orderlist.py:497 pretix/base/exporters/orderlist.py:505 pretix/base/exporters/orderlist.py:585 pretix/base/exporters/orderlist.py:593 pretix/base/models/orders.py:1859 pretix/base/models/orders.py:1860 pretix/control/forms/event.py:715 pretix/control/templates/pretixcontrol/order/index.html:645 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:101 pretix/presale/templates/pretixpresale/event/order.html:240","Country","Land"
"pretix/base/exporters/orderlist.py:99 pretix/base/exporters/orderlist.py:211 pretix/base/exporters/orderlist.py:304 pretix/base/exporters/orderlist.py:499 pretix/base/exporters/orderlist.py:506 pretix/base/exporters/orderlist.py:587 pretix/base/exporters/orderlist.py:594 pretix/base/models/orders.py:1861 pretix/control/templates/pretixcontrol/order/index.html:648 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:104 pretix/presale/templates/pretixpresale/event/order.html:243","VAT ID","USt-ID"
"pretix/base/exporters/orderlist.py:100","Date of last payment","Datum der letzten Zahlung"
"pretix/base/exporters/orderlist.py:100 pretix/base/services/stats.py:152","Fees","Gebühren"
"pretix/base/exporters/orderlist.py:100 pretix/control/templates/pretixcontrol/order/index.html:126","Order locale","Sprache"
"pretix/base/exporters/orderlist.py:105","Gross at {rate} % tax","Brutto {rate} %"
"pretix/base/exporters/orderlist.py:106","Net at {rate} % tax","Netto {rate} %"
"pretix/base/exporters/orderlist.py:107","Tax value at {rate} % tax","Steuer {rate} %"
"pretix/base/exporters/orderlist.py:110","Invoice numbers","Rechnungsnummern"
"pretix/base/exporters/orderlist.py:111 pretix/base/exporters/orderlist.py:306 pretix/control/templates/pretixcontrol/order/index.html:123","Sales channel","Verkaufskanal"
"pretix/base/exporters/orderlist.py:197","Fee type","Art der Gebühr"
"pretix/base/exporters/orderlist.py:198 pretix/base/exporters/orderlist.py:568 pretix/base/models/items.py:258 pretix/base/models/items.py:563 pretix/base/models/items.py:570","Description","Beschreibung"
"pretix/base/exporters/orderlist.py:199 pretix/base/exporters/orderlist.py:278 pretix/base/models/orders.py:924 pretix/base/pdf.py:86 pretix/control/templates/pretixcontrol/order/change.html:121 pretix/plugins/checkinlists/exporters.py:213 pretix/plugins/checkinlists/exporters.py:302","Price","Preis"
"pretix/base/exporters/orderlist.py:200 pretix/base/exporters/orderlist.py:279 pretix/base/exporters/orderlist.py:572 pretix/base/models/orders.py:1555 pretix/base/models/orders.py:1653 pretix/base/models/tax.py:98","Tax rate","Steuersatz"
"pretix/base/exporters/orderlist.py:201 pretix/base/exporters/orderlist.py:280 pretix/control/templates/pretixcontrol/event/tax_edit.html:9 pretix/control/templates/pretixcontrol/event/tax_edit.html:16","Tax rule","Steuerregel"
"pretix/base/exporters/orderlist.py:202 pretix/base/exporters/orderlist.py:281 pretix/base/exporters/orderlist.py:571 pretix/base/models/orders.py:1564 pretix/base/models/orders.py:1662","Tax value","Steuer"
"pretix/base/exporters/orderlist.py:204 pretix/base/exporters/orderlist.py:209 pretix/base/exporters/orderlist.py:298 pretix/base/exporters/orderlist.py:302 pretix/base/pdf.py:186","Invoice address name","Rechnungsadresse: Name"
"pretix/base/exporters/orderlist.py:268","Position ID","Position"
"pretix/base/exporters/orderlist.py:274 pretix/base/models/checkin.py:16 pretix/base/models/items.py:1191 pretix/base/models/orders.py:909 pretix/base/models/vouchers.py:92 pretix/base/models/waitinglist.py:33 pretix/control/forms/checkin.py:24 pretix/control/forms/event.py:1210 pretix/control/forms/filter.py:187 pretix/control/forms/filter.py:789 pretix/control/forms/item.py:145 pretix/control/forms/orders.py:201 pretix/control/forms/orders.py:246 pretix/control/forms/vouchers.py:70 pretix/control/templates/pretixcontrol/checkin/lists.html:61 pretix/control/templates/pretixcontrol/items/quotas.html:47 pretix/control/templates/pretixcontrol/order/change.html:108 pretix/control/templates/pretixcontrol/subevents/bulk.html:7 pretix/control/templates/pretixcontrol/subevents/detail.html:6 pretix/control/templates/pretixcontrol/subevents/detail.html:11 pretix/control/templates/pretixcontrol/vouchers/index.html:104 pretix/control/templates/pretixcontrol/waitinglist/index.html:133 pretix/control/views/waitinglist.py:203 pretix/plugins/checkinlists/exporters.py:316 pretix/plugins/reports/exporters.py:271 pretix/plugins/sendmail/forms.py:79 pretix/presale/templates/pretixpresale/event/checkout_questions.html:92","Date","Termin"
"pretix/base/exporters/orderlist.py:276 pretix/base/models/items.py:378 pretix/base/models/vouchers.py:140 pretix/base/models/waitinglist.py:51 pretix/control/forms/filter.py:795 pretix/control/forms/orders.py:185 pretix/control/forms/vouchers.py:22 pretix/control/templates/pretixcontrol/item/base.html:3 pretix/control/templates/pretixcontrol/order/change.html:92 pretix/control/templates/pretixcontrol/orders/overview.html:32 pretix/control/templates/pretixcontrol/vouchers/index.html:102 pretix/control/templates/pretixcontrol/waitinglist/index.html:131 pretix/control/views/vouchers.py:61 pretix/control/views/waitinglist.py:199 pretix/plugins/checkinlists/exporters.py:213 pretix/plugins/checkinlists/exporters.py:302 pretix/plugins/reports/exporters.py:202 pretix/presale/templates/pretixpresale/event/waitinglist.html:10","Product","Produkt"
"pretix/base/exporters/orderlist.py:277 pretix/base/models/orders.py:919","Variation","Variante"
"pretix/base/exporters/orderlist.py:282 pretix/base/exporters/orderlist.py:287 pretix/base/forms/questions.py:157 pretix/base/models/orders.py:928 pretix/base/pdf.py:100 pretix/control/templates/pretixcontrol/order/index.html:293 pretix/plugins/badges/exporters.py:105 pretix/plugins/checkinlists/exporters.py:52 pretix/plugins/checkinlists/exporters.py:296 pretix/plugins/ticketoutputpdf/exporters.py:39 pretix/presale/templates/pretixpresale/event/fragment_cart.html:27","Attendee name","Name des/der Teilnehmer*in"
"pretix/base/exporters/orderlist.py:289 pretix/base/forms/questions.py:163 pretix/base/models/orders.py:936 pretix/control/templates/pretixcontrol/order/index.html:298 pretix/presale/templates/pretixpresale/event/fragment_cart.html:31","Attendee email","Teilnehmer*innen-E-Mail"
"pretix/base/exporters/orderlist.py:290 pretix/base/models/vouchers.py:177 pretix/control/templates/pretixcontrol/vouchers/bulk.html:5 pretix/control/templates/pretixcontrol/vouchers/detail.html:6 pretix/control/templates/pretixcontrol/vouchers/detail.html:8 pretix/control/templates/pretixcontrol/waitinglist/index.html:137","Voucher","Gutschein"
"pretix/base/exporters/orderlist.py:291","Pseudonymization ID","Pseudonyme ID"
"pretix/base/exporters/orderlist.py:374","Order payments and refunds","Bezahlungen und Erstattungen"
"pretix/base/exporters/orderlist.py:382","Only successful payments","Nur erfolgreiche Zahlungen"
"pretix/base/exporters/orderlist.py:415 pretix/base/models/orders.py:184 pretix/base/models/orders.py:1090 pretix/base/models/orders.py:1404 pretix/base/models/orders.py:1544 pretix/base/models/orders.py:1647 pretix/plugins/banktransfer/templates/pretixplugins/banktransfer/transaction_list.html:15 pretix/plugins/checkinlists/exporters.py:211","Order","Bestellung"
"pretix/base/exporters/orderlist.py:415 pretix/plugins/paypal/templates/pretixplugins/paypal/control.html:5","Payment ID","Zahlungs-ID"
"pretix/base/exporters/orderlist.py:415","Creation date","Erstellungsdatum"
"pretix/base/exporters/orderlist.py:415 pretix/control/templates/pretixcontrol/order/index.html:540","Completion date","Abschlussdatum"
"pretix/base/exporters/orderlist.py:416","Status code","Status-Code"
"pretix/base/exporters/orderlist.py:416 pretix/base/models/orders.py:1086 pretix/base/models/orders.py:1400 pretix/control/templates/pretixcontrol/order/index.html:449 pretix/control/templates/pretixcontrol/order/index.html:545 pretix/control/templates/pretixcontrol/orders/refunds.html:46 pretix/plugins/banktransfer/templates/pretixplugins/banktransfer/import_assign.html:25 pretix/plugins/banktransfer/templates/pretixplugins/banktransfer/transaction_list.html:13","Amount","Betrag"
"pretix/base/exporters/orderlist.py:416 pretix/control/templates/pretixcontrol/order/index.html:447 pretix/control/templates/pretixcontrol/order/index.html:542 pretix/control/templates/pretixcontrol/order/refund_choose.html:29 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_confirm.html:19","Payment method","Zahlungsmethode"
"pretix/base/exporters/orderlist.py:445","Quota availabilities","Kontingent-Verfügbarkeiten"
"pretix/base/exporters/orderlist.py:449 pretix/control/templates/pretixcontrol/items/quotas.html:44","Quota name","Bezeichnung"
"pretix/base/exporters/orderlist.py:449 pretix/control/templates/pretixcontrol/items/quota.html:35","Total quota","Gesamtkontingent"
"pretix/base/exporters/orderlist.py:449 pretix/control/views/item.py:609","Paid orders","Bezahlte Bestellungen"
"pretix/base/exporters/orderlist.py:449 pretix/control/views/item.py:614","Pending orders","Ausstehende Zahlungen"
"pretix/base/exporters/orderlist.py:449","Blocking vouchers","Blockierende Gutscheine"
"pretix/base/exporters/orderlist.py:450 pretix/control/views/item.py:624","Current user's carts","Aktuelle Warenkörbe"
"pretix/base/exporters/orderlist.py:450 pretix/base/shredder.py:170 pretix/control/forms/event.py:1302 pretix/control/navigation.py:222 pretix/control/templates/pretixcontrol/event/settings.html:73 pretix/control/templates/pretixcontrol/waitinglist/index.html:6 pretix/control/templates/pretixcontrol/waitinglist/index.html:8 pretix/presale/templates/pretixpresale/event/fragment_availability.html:10 pretix/presale/templates/pretixpresale/event/fragment_availability.html:24 pretix/presale/templates/pretixpresale/event/fragment_subevent_list.html:23 pretix/presale/templates/pretixpresale/event/waitinglist.html:3 pretix/presale/templates/pretixpresale/fragment_calendar.html:45 pretix/presale/templates/pretixpresale/organizers/index.html:68 pretix/presale/views/widget.py:270","Waiting list","Warteliste"
"pretix/base/exporters/orderlist.py:450","Current availability","Aktuell verfügbar"
"pretix/base/exporters/orderlist.py:458 pretix/base/exporters/orderlist.py:464 pretix/control/templates/pretixcontrol/items/quota.html:37","Infinite","Unendlich"
"pretix/base/exporters/orderlist.py:474","Invoice data","Rechnungsdaten"
"pretix/base/exporters/orderlist.py:479 pretix/base/shredder.py:290 pretix/control/templates/pretixcontrol/order/index.html:159 pretix/control/templates/pretixcontrol/order/index.html:208 pretix/presale/templates/pretixpresale/event/order.html:171 pretix/presale/templates/pretixpresale/event/order.html:192","Invoices","Rechnungen"
"pretix/base/exporters/orderlist.py:480","Invoice lines","Rechnungszeilen"
"pretix/base/exporters/orderlist.py:486 pretix/base/exporters/orderlist.py:566","Invoice number","Rechnungsnummer"
"pretix/base/exporters/orderlist.py:487 pretix/base/exporters/orderlist.py:576 pretix/base/models/items.py:921 pretix/base/models/orders.py:143 pretix/base/models/orders.py:1813 pretix/control/forms/filter.py:378 pretix/plugins/banktransfer/templates/pretixplugins/banktransfer/import_assign.html:17 pretix/plugins/banktransfer/templates/pretixplugins/banktransfer/transaction_list.html:11 pretix/presale/templates/pretixpresale/organizers/index.html:47","Date","Datum"
"pretix/base/exporters/orderlist.py:489 pretix/base/exporters/orderlist.py:578 pretix/base/models/waitinglist.py:40 pretix/control/templates/pretixcontrol/users/index.html:37 pretix/control/views/waitinglist.py:199","E-mail address","E-Mail-Adresse"
"pretix/base/exporters/orderlist.py:490 pretix/base/exporters/orderlist.py:579","Invoice type","Rechnungsart"
"pretix/base/exporters/orderlist.py:491 pretix/base/exporters/orderlist.py:580","Cancellation of","Storno von"
"pretix/base/exporters/orderlist.py:492 pretix/base/models/auth.py:90 pretix/control/forms/event.py:1215 pretix/control/views/waitinglist.py:200","Language","Sprache"
